source_ref,image_width,image_height,image_depth,annotations,event_time,labeling_job,status
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-07-29-26-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 123, 'left': 81, 'height': 97, 'width': 82}, {'class_id': 0, 'top': 119, 'left': 180, 'height': 70, 'width': 72}, {'class_id': 0, 'top': 79, 'left': 286, 'height': 82, 'width': 52}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-55-52-04-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 85, 'left': 182, 'height': 142, 'width': 76}]",1657198376.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-05-35-04-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 69, 'left': 125, 'height': 131, 'width': 51}, {'class_id': 0, 'top': 94, 'left': 284, 'height': 125, 'width': 35}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-08-58-87-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 125, 'left': 166, 'height': 77, 'width': 114}, {'class_id': 0, 'top': 163, 'left': 261, 'height': 103, 'width': 70}]",1657269941.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-56-30-27-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 90, 'left': 197, 'height': 142, 'width': 75}]",1657198665.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-01-09-04-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 120, 'left': 142, 'height': 79, 'width': 92}, {'class_id': 0, 'top': 103, 'left': 279, 'height': 99, 'width': 61}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-06-38-66-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 123, 'left': 302, 'height': 20, 'width': 31}, {'class_id': 0, 'top': 122, 'left': 270, 'height': 64, 'width': 46}, {'class_id': 0, 'top': 144, 'left': 249, 'height': 24, 'width': 48}, {'class_id': 0, 'top': 137, 'left': 160, 'height': 131, 'width': 59}, {'class_id': 0, 'top': 152, 'left': 73, 'height': 38, 'width': 68}]",1657199588.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/good/image-2020-04-22-10-15-16-00-cropped-left-top.jpg,450,300,3,[],1657269064.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-45-68-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 81, 'left': 128, 'height': 48, 'width': 100}, {'class_id': 0, 'top': 111, 'left': 164, 'height': 78, 'width': 136}]",1657194148.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-58-45-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 123, 'left': 164, 'height': 85, 'width': 160}]",1657194290.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-07-03-86-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 185, 'left': 166, 'height': 22, 'width': 79}, {'class_id': 0, 'top': 180, 'left': 305, 'height': 27, 'width': 46}, {'class_id': 0, 'top': 170, 'left': 342, 'height': 13, 'width': 19}, {'class_id': 0, 'top': 146, 'left': 202, 'height': 12, 'width': 35}, {'class_id': 0, 'top': 140, 'left': 233, 'height': 10, 'width': 13}]",1657268933.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-51-14-06-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 111, 'left': 235, 'height': 30, 'width': 97}, {'class_id': 0, 'top': 142, 'left': 74, 'height': 35, 'width': 27}, {'class_id': 0, 'top': 173, 'left': 203, 'height': 66, 'width': 103}]",1657194077.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-33-04-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 90, 'left': 134, 'height': 43, 'width': 109}, {'class_id': 0, 'top': 128, 'left': 169, 'height': 74, 'width': 146}]",1657196197.0,labeling-job/quality-inspection-labeling-job-9634f9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-55-39-46-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 106, 'left': 317, 'height': 118, 'width': 36}, {'class_id': 0, 'top': 98, 'left': 129, 'height': 144, 'width': 99}]",1657198916.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-55-01-67-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 131, 'left': 178, 'height': 59, 'width': 140}, {'class_id': 0, 'top': 93, 'left': 144, 'height': 41, 'width': 94}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-04-57-07-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 135, 'left': 272, 'height': 54, 'width': 56}, {'class_id': 0, 'top': 189, 'left': 333, 'height': 33, 'width': 43}, {'class_id': 0, 'top': 167, 'left': 259, 'height': 20, 'width': 25}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-54-49-03-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 96, 'left': 124, 'height': 91, 'width': 93}, {'class_id': 0, 'top': 140, 'left': 259, 'height': 73, 'width': 78}]",1657194356.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-06-26-04-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 137, 'left': 156, 'height': 24, 'width': 113}]",1657198665.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-04-44-46-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 121, 'left': 100, 'height': 41, 'width': 91}, {'class_id': 0, 'top': 80, 'left': 240, 'height': 136, 'width': 94}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-58-45-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 108, 'left': 134, 'height': 80, 'width': 89}, {'class_id': 0, 'top': 152, 'left': 270, 'height': 60, 'width': 73}]",1657194220.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-05-09-64-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 99, 'left': 285, 'height': 125, 'width': 37}, {'class_id': 0, 'top': 75, 'left': 130, 'height': 130, 'width': 47}]",1657198499.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-06-38-66-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 142, 'left': 200, 'height': 16, 'width': 38}, {'class_id': 0, 'top': 184, 'left': 168, 'height': 28, 'width': 80}, {'class_id': 0, 'top': 182, 'left': 302, 'height': 29, 'width': 49}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-07-42-18-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 117, 'left': 151, 'height': 78, 'width': 120}, {'class_id': 0, 'top': 162, 'left': 249, 'height': 98, 'width': 67}]",1657198916.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-03-41-25-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 71, 'left': 228, 'height': 132, 'width': 96}, {'class_id': 0, 'top': 115, 'left': 91, 'height': 42, 'width': 90}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-01-09-04-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 82, 'left': 185, 'height': 144, 'width': 78}]",1657199148.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-02-50-45-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 73, 'left': 230, 'height': 130, 'width': 93}, {'class_id': 0, 'top': 117, 'left': 92, 'height': 38, 'width': 87}]",1657199148.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-04-57-07-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 150, 'left': 101, 'height': 10, 'width': 179}, {'class_id': 0, 'top': 100, 'left': 291, 'height': 38, 'width': 110}]",1657268108.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-51-14-06-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 109, 'left': 158, 'height': 48, 'width': 217}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/good/image-2020-04-22-10-15-03-04-cropped-left-bottom.jpg,450,300,3,[],1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-57-08-25-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 96, 'left': 115, 'height': 140, 'width': 91}, {'class_id': 0, 'top': 105, 'left': 320, 'height': 113, 'width': 13}]",1657267466.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-51-51-85-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 118, 'left': 76, 'height': 61, 'width': 117}, {'class_id': 0, 'top': 122, 'left': 146, 'height': 31, 'width': 87}, {'class_id': 0, 'top': 111, 'left': 233, 'height': 30, 'width': 120}, {'class_id': 0, 'top': 177, 'left': 176, 'height': 64, 'width': 143}]",1657270005.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-06-00-83-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 125, 'left': 281, 'height': 73, 'width': 55}, {'class_id': 0, 'top': 137, 'left': 266, 'height': 39, 'width': 81}, {'class_id': 0, 'top': 131, 'left': 309, 'height': 21, 'width': 36}, {'class_id': 0, 'top': 140, 'left': 176, 'height': 141, 'width': 62}, {'class_id': 0, 'top': 162, 'left': 88, 'height': 36, 'width': 77}]",1657268998.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
